iter	RMSE
0	22.43658002
1	21.86673175
2	21.35666583
3	20.87063111
4	20.38044183
5	19.87871387
6	19.38475579
7	18.93820951
8	18.47165958
9	18.04860174
10	17.62210527
11	17.22154908
12	16.81670856
13	16.42430277
14	16.0390277
15	15.6688898
16	15.31615225
17	14.97546075
18	14.65652794
19	14.31197862
20	13.99107408
21	13.68987595
22	13.41341606
23	13.1148574
24	12.81815758
25	12.54121795
26	12.27363682
27	12.0111192
28	11.77227977
29	11.55560735
30	11.33338219
31	11.10820775
32	10.89283376
33	10.69216594
34	10.4862395
35	10.29977144
36	10.13420638
37	9.959793405
38	9.802497362
39	9.637029297
40	9.452829487
41	9.310250421
42	9.158881547
43	9.00797228
44	8.857040321
45	8.722517046
46	8.587120475
47	8.456953434
48	8.337850157
49	8.219075382
50	8.099399354
51	7.985181459
52	7.88107776
53	7.782729014
54	7.698278537
55	7.603502532
56	7.513442466
57	7.422373599
58	7.334747894
59	7.25043665
60	7.170341933
61	7.100249707
62	7.026956742
63	6.956384977
64	6.889128942
65	6.826236118
66	6.759393602
67	6.69836695
68	6.639170483
69	6.583105009
70	6.534027404
71	6.486428532
72	6.440293721
73	6.398334131
74	6.352676807
75	6.314700694
76	6.275400041
77	6.236361704
78	6.203531631
79	6.166714456
80	6.132842214
81	6.104191317
82	6.075741626
83	6.050235246
84	6.025048081
85	5.999773368
86	5.975849909
87	5.947283169
88	5.923037781
89	5.903179504
90	5.883258381
91	5.859678453
92	5.835786882
93	5.813889085
94	5.796722102
95	5.778092516
96	5.763460595
97	5.747424387
98	5.730280303
99	5.716380999
