iter	Passed	Remaining
0	2	293
1	5	255
2	7	252
3	9	226
4	11	210
5	12	200
6	14	190
7	15	182
8	17	176
9	19	171
10	20	167
11	22	164
12	24	162
13	25	158
14	27	155
15	28	149
16	30	146
17	31	143
18	33	140
19	34	138
20	36	136
21	38	135
22	40	134
23	41	132
24	43	129
25	44	127
26	46	125
27	48	123
28	49	121
29	51	119
30	52	117
31	54	116
32	56	114
33	58	112
34	59	110
35	61	109
36	62	107
37	64	105
38	66	103
39	67	101
40	69	99
41	71	98
42	72	96
43	74	94
44	75	92
45	77	90
46	78	88
47	80	86
48	81	84
49	83	83
50	84	81
51	86	79
52	88	78
53	89	76
54	91	74
55	92	72
56	94	71
57	95	69
58	97	67
59	99	66
60	100	64
61	102	62
62	103	60
63	105	59
64	106	57
65	108	55
66	109	53
67	111	52
68	112	50
69	114	48
70	115	47
71	117	45
72	119	44
73	120	42
74	122	40
75	123	39
76	125	37
77	127	35
78	128	34
79	129	32
80	131	30
81	133	29
82	135	27
83	136	26
84	138	24
85	139	22
86	141	21
87	142	19
88	144	17
89	145	16
90	147	14
91	148	12
92	150	11
93	151	9
94	153	8
95	154	6
96	156	4
97	157	3
98	159	1
99	161	0
