iter	RMSE
0	22.1960192
1	21.38258197
2	20.66488523
3	19.99087977
4	19.32016716
5	18.64042512
6	17.98003981
7	17.34794759
8	16.74229418
9	16.1878637
10	15.64883791
11	15.16655087
12	14.680349
13	14.23052697
14	13.78004875
15	13.34801395
16	12.93594212
17	12.55193335
18	12.19670693
19	11.81606232
20	11.49342647
21	11.17191836
22	10.87732183
23	10.58104396
24	10.27523956
25	10.01528421
26	9.749991168
27	9.497002808
28	9.271807513
29	9.072345784
30	8.878123747
31	8.672267987
32	8.487325751
33	8.329733016
34	8.152437667
35	8.000278592
36	7.870938614
37	7.731818882
38	7.601993413
39	7.474338603
40	7.333874272
41	7.25304082
42	7.137790595
43	7.033168773
44	6.940960418
45	6.850556353
46	6.7576729
47	6.669631525
48	6.591154782
49	6.517354409
50	6.448874896
51	6.386801626
52	6.32571423
53	6.270423551
54	6.217448206
55	6.170709193
56	6.122880768
57	6.079411669
58	6.031791664
59	5.991123751
60	5.954548496
61	5.918193849
62	5.887478758
63	5.85505291
64	5.824464073
65	5.800015792
66	5.770818804
67	5.745043147
68	5.721346092
69	5.701912324
70	5.680853628
71	5.660981693
72	5.641096937
73	5.623648837
74	5.608208102
75	5.590140581
76	5.574373183
77	5.562758774
78	5.550798369
79	5.544021514
80	5.532918215
81	5.521867201
82	5.51429833
83	5.502080703
84	5.491080548
85	5.482106065
86	5.474685947
87	5.465016971
88	5.456504561
89	5.449635593
90	5.439920939
91	5.431437627
92	5.4230791
93	5.413706662
94	5.406417968
95	5.400566981
96	5.393381756
97	5.387680698
98	5.382709712
99	5.376514625
100	5.370862916
101	5.365002427
102	5.358517889
103	5.351935439
104	5.345933536
105	5.340111571
106	5.33609205
107	5.33095636
108	5.326158837
109	5.321197261
110	5.313778256
111	5.308581497
112	5.306630169
113	5.301996714
114	5.297203487
115	5.290928844
116	5.287033047
117	5.284009378
118	5.278276318
119	5.276242078
120	5.273978894
121	5.270164743
122	5.265157379
123	5.259585744
124	5.254799708
125	5.251360977
126	5.246989988
127	5.243156799
128	5.238783185
129	5.234440684
130	5.229145857
131	5.226325741
132	5.223384154
133	5.22071313
134	5.215067756
135	5.209199166
136	5.206910899
137	5.202972364
138	5.197906001
139	5.195322923
140	5.192484517
141	5.188100951
142	5.185605684
143	5.181401538
144	5.17696024
145	5.173695222
146	5.169605621
147	5.163422876
148	5.160186466
149	5.157514595
150	5.153424906
151	5.150128252
152	5.147992253
153	5.1450141
154	5.138321416
155	5.134053624
156	5.130102945
157	5.127842777
158	5.125293919
159	5.122335276
160	5.120070114
161	5.118959504
162	5.113447451
163	5.110816766
164	5.108778383
165	5.105311574
166	5.102008968
167	5.09781092
168	5.094901597
169	5.092195792
170	5.088968333
171	5.086209316
172	5.082927694
173	5.079386625
174	5.075985564
175	5.073707772
176	5.069898384
177	5.06610857
178	5.0623506
179	5.058797786
180	5.055307126
181	5.052691657
182	5.049949907
183	5.047507578
184	5.043260527
185	5.039767349
186	5.037742481
187	5.033584126
188	5.031483874
189	5.028806173
190	5.022818055
