iter	Passed	Remaining
0	4	4252
1	7	3936
2	11	3775
3	17	4416
4	20	4159
5	23	3822
6	24	3480
7	26	3250
8	27	3002
9	28	2799
10	29	2634
11	30	2509
12	31	2391
13	32	2323
14	34	2241
15	36	2233
16	38	2225
17	40	2221
18	42	2179
19	43	2139
20	45	2126
21	47	2123
22	49	2094
23	52	2144
24	54	2115
25	55	2087
26	57	2083
27	58	2045
28	59	2006
29	60	1969
30	61	1934
31	62	1900
32	64	1875
33	65	1860
34	68	1876
35	69	1850
36	70	1823
37	70	1797
38	72	1788
39	73	1768
40	74	1745
41	75	1712
42	76	1692
43	77	1673
44	78	1655
45	78	1637
46	79	1620
47	80	1604
48	83	1613
49	84	1604
50	85	1588
51	86	1573
52	87	1559
53	88	1545
54	89	1532
55	90	1519
56	91	1506
57	92	1494
58	92	1482
59	93	1471
60	94	1460
61	95	1449
62	96	1439
63	99	1454
64	100	1446
65	101	1436
66	102	1427
67	103	1417
68	104	1408
69	105	1399
70	106	1390
71	107	1382
72	108	1373
73	108	1362
74	109	1354
75	110	1346
76	111	1339
77	112	1333
78	115	1341
79	115	1329
80	116	1322
81	117	1315
82	118	1309
83	119	1303
84	120	1296
85	121	1290
86	122	1284
87	123	1278
88	124	1272
89	125	1266
90	126	1260
91	127	1255
92	128	1249
93	130	1253
94	131	1253
95	132	1248
96	133	1242
97	134	1236
98	135	1231
99	136	1230
100	137	1225
101	138	1220
102	139	1215
103	140	1209
104	141	1204
105	142	1199
106	143	1194
107	144	1190
108	147	1209
109	149	1207
110	150	1203
111	151	1198
112	152	1194
113	153	1189
114	154	1185
115	154	1180
116	155	1176
117	156	1172
118	157	1168
119	158	1162
120	159	1158
121	160	1154
122	162	1159
123	164	1159
124	165	1159
125	167	1162
126	168	1158
127	169	1155
128	170	1151
129	171	1147
130	172	1143
131	173	1139
132	174	1135
133	175	1131
134	175	1127
135	178	1133
136	179	1131
137	180	1127
138	181	1124
139	182	1120
140	183	1117
141	184	1114
142	185	1110
143	186	1107
144	187	1103
145	188	1100
146	189	1097
147	189	1093
148	190	1090
149	191	1087
150	194	1094
151	195	1091
152	196	1086
153	197	1083
154	198	1080
155	199	1077
156	200	1074
157	200	1070
158	201	1067
159	202	1064
160	203	1061
161	204	1059
162	205	1056
163	206	1053
164	207	1050
165	210	1055
166	211	1054
167	212	1051
168	213	1049
169	214	1046
170	215	1044
171	216	1041
172	217	1038
173	218	1038
174	220	1040
175	221	1038
176	222	1035
177	223	1034
178	226	1039
179	228	1039
180	229	1039
181	232	1044
182	233	1044
183	235	1042
184	236	1039
185	236	1036
186	237	1034
